ticker,rank,date,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
MU,1,2026-09-14,975.26,0.0702,-0.0205,1.4074,5.4875,0.8143,-0.3910,-0.1962,6.5454,-2.1377,2.2038
VLO,2,2026-09-14,390.42,0.1823,0.5334,0.6700,1.5300,0.3620,-0.1212,0.0000,1.5236,0.1252,0.8244
INTC,3,2026-09-14,102.94,0.0197,-0.1199,1.2749,3.1829,0.7965,-0.4190,-0.2696,3.6210,-2.0486,0.7862
MPC,4,2026-09-14,395.93,0.1400,0.5222,0.7322,1.2080,0.3427,-0.1833,-0.0088,1.1150,0.2219,0.6685
PSX,5,2026-09-14,259.47,0.1563,0.4646,0.5092,1.0159,0.3092,-0.1728,-0.0050,0.8713,0.3893,0.6303
JNJ,6,2026-09-14,265.58,0.0231,0.1198,0.1090,0.5214,0.1915,-0.1096,-0.0461,0.2437,0.9787,0.6112
CSX,7,2026-09-14,48.95,-0.0199,0.0362,0.2553,0.5093,0.2224,-0.1158,-0.0779,0.2284,0.8237,0.5260
TTE,8,2026-09-14,91.89,0.0478,0.0475,0.1407,0.5610,0.2462,-0.2009,-0.0183,0.2940,0.7048,0.4994
TGT,9,2026-09-14,155.83,0.0119,0.1839,0.3694,0.7716,0.3064,-0.1333,-0.0828,0.5613,0.4037,0.4825
TRV,10,2026-09-14,375.20,0.0171,0.2388,0.2518,0.3633,0.2084,-0.0881,-0.0523,0.0431,0.8939,0.4685
PLTR,142,2026-09-14,167.23,-0.0223,0.2758,0.0894,0.0175,0.6088,-0.4822,-0.1928,-0.3957,-1.1097,-0.7527
INTU,143,2026-09-14,321.57,-0.0393,0.1664,-0.2554,-0.5077,0.4871,-0.6342,-0.5368,-1.0621,-0.5009,-0.7815
SE,144,2026-09-14,106.24,-0.1707,0.2398,0.2475,-0.4593,0.5083,-0.6022,-0.4593,-1.0007,-0.6067,-0.8037
NOW,145,2026-09-14,132.53,0.0607,0.2857,0.1731,-0.2938,0.5687,-0.5682,-0.3106,-0.7906,-0.9090,-0.8498
ORCL,146,2026-09-14,150.28,-0.0196,-0.1809,-0.0492,-0.5063,0.5704,-0.6456,-0.5368,-1.0603,-0.9172,-0.9887
HOOD,147,2026-09-14,112.57,0.1861,0.2205,0.4788,-0.0440,0.7219,-0.5726,-0.2616,-0.4737,-1.6753,-1.0745
ZS,148,2026-09-14,164.54,-0.0721,0.3047,0.0853,-0.4260,0.6320,-0.6489,-0.5107,-0.9584,-1.2258,-1.0921
MRNA,149,2026-09-14,143.97,1.2612,1.9003,1.6966,4.6703,1.9257,-0.3416,-0.1744,5.5085,-7.6989,-1.0952
COIN,150,2026-09-14,175.26,0.1759,0.0924,-0.0930,-0.4590,0.7078,-0.6356,-0.5474,-1.0003,-1.6050,-1.3026
SMCI,151,2026-09-14,40.10,0.0662,0.2543,0.2977,-0.0876,0.9157,-0.6501,-0.3166,-0.5290,-2.6451,-1.5870
